postal,fips,name,value
AL,1,ALABAMA,55
AK,2,ALASKA,48
AS,60,AMERICAN SAMOA,
AZ,4,ARIZONA,51
AR,5,ARKANSAS,55
CA,6,CALIFORNIA,48
CO,8,COLORADO,45
CT,9,CONNECTICUT,51
DE,10,DELAWARE,57
DC,11,DISTRICT OF COLUMBIA,62
FL,12,FLORIDA,59
GA,13,GEORGIA,60
GU,66,GUAM,
HI,15,HAWAII,56
ID,16,IDAHO,39
IL,17,ILLINOIS,52
IN,18,INDIANA,49
IA,19,IOWA,43
KS,20,KANSAS,45
KY,21,KENTUCKY,47
LA,22,LOUISIANA,60
ME,23,MAINE,48
MD,24,MARYLAND,58
MA,25,MASSACHUSETTS,47
MI,26,MICHIGAN,54
MN,27,MINNESOTA,40
MS,28,MISSISSIPPI,62
MO,29,MISSOURI,51
MT,30,MONTANA,45
NE,31,NEBRASKA,43
NV,32,NEVADA,52
NH,33,NEW HAMPSHIRE,43
NJ,34,NEW JERSEY,53
NM,35,NEW MEXICO,55
NY,36,NEW YORK,55
NC,37,NORTH CAROLINA,54
ND,38,NORTH DAKOTA,44
OH,39,OHIO,55
OK,40,OKLAHOMA,51
OR,41,OREGON,46
PA,42,PENNSYLVANIA,53
PR,72,PUERTO RICO,
RI,44,RHODE ISLAND,52
SC,45,SOUTH CAROLINA,50
SD,46,SOUTH DAKOTA,46
TN,47,TENNESSEE,56
TX,48,TEXAS,54
UT,49,UTAH,36
VT,50,VERMONT,46
VI,78,VIRGIN ISLANDS,
VA,51,VIRGINIA,54
WA,53,WASHINGTON,48
WV,54,WEST VIRGINIA,52
WI,55,WISCONSIN,46
WY,56,WYOMING,44
